Release Dates
1978-02-10
1978-03-09
1978-04-06
1978-05-04
1978-06-02
1978-07-07
1978-08-10
1978-09-08
1978-10-05
1978-11-02
1978-12-07
1979-01-11
1979-02-09
1979-03-08
1979-04-05
1979-05-03
1979-06-07
1979-07-06
1979-08-09
1979-09-07
1979-10-04
1979-11-01
1979-12-06
1980-01-11
1980-02-15
1980-03-07
1980-04-04
1980-05-09
1980-06-06
1980-07-08
1980-08-15
1980-09-05
1980-10-03
1980-11-07
1980-12-05
1981-01-09
1981-02-13
1981-03-06
1981-04-03
1981-05-08
1981-06-05
1981-07-07
1981-08-14
1981-09-04
1981-10-09
1981-11-10
1981-12-09
1982-01-15
1982-02-12
1982-03-12
1982-04-09
1982-05-14
1982-06-11
1982-07-16
1982-08-13
1982-09-10
1982-10-15
1982-11-16
1982-12-10
1983-01-14
1983-02-11
1983-03-18
1983-04-15
1983-05-13
1983-06-10
1983-07-15
1983-08-12
1983-09-09
1983-10-14
1983-11-10
1983-12-16
1984-01-13
1984-02-10
1984-03-16
1984-04-13
1984-05-11
1984-06-15
1984-07-13
1984-08-10
1984-09-14
1984-10-12
1984-11-09
1984-12-14
1985-01-11
1985-02-15
1985-03-15
1985-04-12
1985-05-10
1985-06-14
1985-07-12
1985-08-12
1985-09-13
1985-10-11
1985-11-15
1985-12-13
1986-01-10
1986-02-15
1986-03-14
1986-04-11
1986-05-16
1986-06-13
1986-07-11
1986-08-15
1986-09-12
1986-10-10
1986-11-14
1986-12-12
1987-01-09
1987-02-13
1987-03-13
1987-04-15
1987-05-15
1987-06-12
1987-07-10
1987-08-14
1987-09-11
1987-10-16
1987-11-13
1987-12-11
1988-01-15
1988-02-12
1988-03-17
1988-04-14
1988-05-13
1988-06-10
1988-07-15
1988-08-12
1988-09-09
1988-10-14
1988-11-10
1988-12-16
1989-01-13
1989-02-12
1989-03-17
1989-04-14
1989-05-12
1989-06-09
1989-07-14
1989-08-11
1989-09-15
1989-10-13
1989-11-09
1989-12-15
1990-01-12
1990-02-09
1990-03-16
1990-04-13
1990-05-11
1990-06-14
1990-07-13
1990-08-10
1990-09-14
1990-10-12
1990-11-09
1990-12-14
1991-01-11
1991-02-15
1991-03-15
1991-04-11
1991-05-10
1991-06-13
1991-07-12
1991-08-09
1991-09-12
1991-10-11
1991-11-13
1991-12-12
1992-01-09
1992-02-14
1992-03-13
1992-04-09
1992-05-12
