Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
1962-10-02,0.010468
1962-10-03,0.001507
1962-10-04,0.007896
1962-10-05,0.006087
1962-10-08,0.000208
1962-10-09,0.003028
1962-10-10,0.000114
1962-10-11,-0.002832
1962-10-12,-0.001655
1962-10-15,0.004654
1962-10-16,-0.003108
1962-10-17,-0.004408
1962-10-18,-0.009271
1962-10-19,-0.013159
1962-10-22,-0.011673
1962-10-23,-0.026326
1962-10-24,0.028349
1962-10-25,-0.007561
1962-10-26,-0.002773
1962-10-29,0.021966
1962-10-30,0.014747
1962-10-31,0.000205
1962-11-01,0.009954
1962-11-02,0.010627
1962-11-05,0.010503
1962-11-07,0.007228
1962-11-08,-0.005797
1962-11-09,0.009890
1962-11-12,0.013781
1962-11-13,-0.001932
1962-11-14,0.011957
1962-11-15,-0.002377
1962-11-16,0.002903
1962-11-19,-0.004563
1962-11-20,0.009858
1962-11-21,0.007152
1962-11-23,0.011745
1962-11-26,-0.002790
1962-11-27,0.007280
1962-11-28,0.007485
1962-11-29,0.004503
1962-11-30,-0.002006
1962-12-03,-0.003995
1962-12-04,0.010718
1962-12-05,0.004217
1962-12-06,0.000720
1962-12-07,0.001909
1962-12-10,-0.012944
1962-12-11,0.000468
1962-12-12,0.004626
1962-12-13,-0.003429
1962-12-14,0.002128
1962-12-17,-0.003616
1962-12-18,-0.004820
1962-12-19,0.007624
1962-12-20,0.003263
1962-12-21,-0.002097
1962-12-24,-0.000521
1962-12-26,0.006192
1962-12-27,-0.001382
1962-12-28,0.000568
1962-12-31,0.002445
1963-01-02,-0.005009
1963-01-03,0.016469
1963-01-04,0.006896
1963-01-07,0.000946
1963-01-08,0.009031
1963-01-09,-0.001472
1963-01-10,0.001983
1963-01-11,0.002611
1963-01-14,0.005732
1963-01-15,-0.000920
1963-01-16,-0.006757
1963-01-17,0.006622
1963-01-18,0.000458
1963-01-21,0.001537
1963-01-22,0.002752
1963-01-23,0.002342
1963-01-24,0.001652
1963-01-25,0.002498
1963-01-28,0.003894
1963-01-29,0.000389
1963-01-30,-0.005378
1963-01-31,0.004609
1963-02-01,0.001922
1963-02-04,-0.002014
1963-02-05,-0.000736
1963-02-06,0.004697
1963-02-07,-0.002964
1963-02-08,0.000528
1963-02-11,-0.004841
1963-02-12,0.000281
1963-02-13,0.004821
1963-02-14,0.003187
1963-02-15,0.001370
1963-02-18,0.001688
1963-02-19,-0.004057
1963-02-20,-0.004971
1963-02-21,0.001220
1963-02-25,-0.005913
1963-02-26,0.000994
1963-02-27,-0.006276
1963-02-28,-0.011023
1963-03-01,-0.003240
1963-03-04,0.009084
1963-03-05,-0.000022
1963-03-06,0.001780
1963-03-07,0.005806
1963-03-08,0.001217
1963-03-11,0.002176
1963-03-12,0.002480
1963-03-13,0.003231
1963-03-14,-0.004251
1963-03-15,0.003955
1963-03-18,-0.004160
1963-03-19,-0.002217
1963-03-20,0.007190
1963-03-21,-0.001147
1963-03-22,0.004538
1963-03-25,0.000470
1963-03-26,0.002574
1963-03-27,0.004140
1963-03-28,-0.001091
1963-03-29,0.000092
1963-04-01,0.003741
1963-04-02,-0.000191
1963-04-03,0.007061
1963-04-04,0.006163
1963-04-05,0.005794
1963-04-08,0.003489
1963-04-09,-0.000648
1963-04-10,-0.002433
1963-04-11,0.006588
1963-04-15,0.003920
1963-04-16,0.000944
1963-04-17,-0.002148
1963-04-18,0.001015
1963-04-19,0.004775
1963-04-22,0.000608
1963-04-23,0.003578
1963-04-24,0.002721
1963-04-25,0.000714
1963-04-26,-0.000536
1963-04-29,-0.000767
1963-04-30,0.002193
1963-05-01,0.002607
1963-05-02,0.002699
1963-05-03,-0.001364
1963-05-06,-0.006189
1963-05-07,-0.000133
1963-05-08,0.007820
1963-05-09,0.004366
1963-05-10,0.003075
1963-05-13,0.000389
1963-05-14,-0.002578
1963-05-15,0.002517
1963-05-16,-0.002141
1963-05-17,0.001012
1963-05-20,-0.003820
1963-05-21,0.002233
1963-05-22,0.000512
1963-05-23,-0.000727
1963-05-24,-0.001073
1963-05-27,-0.000970
1963-05-28,0.001791
1963-05-29,0.004354
1963-05-31,0.005575
1963-06-03,-0.000577
1963-06-04,0.000123
1963-06-05,-0.002274
1963-06-06,0.000243
1963-06-07,-0.001815
1963-06-10,-0.005467
1963-06-11,0.001051
1963-06-12,0.004827
1963-06-13,-0.002449
1963-06-14,0.000610
1963-06-17,-0.003895
1963-06-18,0.001290
1963-06-19,0.000956
1963-06-20,-0.001111
1963-06-21,0.003271
1963-06-24,-0.000785
1963-06-25,-0.002238
1963-06-26,-0.009034
1963-06-27,-0.004796
1963-06-28,0.004052
1963-07-01,-0.006464
1963-07-02,0.007971
1963-07-03,0.006421
1963-07-05,0.004134
1963-07-08,-0.006111
1963-07-09,0.004604
1963-07-10,-0.001551
1963-07-11,-0.001456
1963-07-12,-0.001139
1963-07-15,-0.006031
1963-07-16,-0.000652
1963-07-17,-0.003157
1963-07-18,-0.005655
1963-07-19,-0.002507
1963-07-22,-0.006362
1963-07-23,0.000153
1963-07-24,0.004639
1963-07-25,-0.000289
1963-07-26,0.003571
1963-07-29,0.001080
1963-07-30,0.008450
1963-07-31,-0.001154
1963-08-01,-0.000683
1963-08-02,0.003002
1963-08-05,0.005681
1963-08-06,0.006058
1963-08-07,-0.001725
1963-08-08,0.001408
1963-08-09,0.006048
1963-08-12,0.002592
1963-08-13,0.002697
1963-08-14,0.003185
1963-08-15,0.004352
1963-08-16,0.001668
1963-08-19,-0.000345
1963-08-20,-0.000477
1963-08-21,-0.001006
1963-08-22,0.003851
1963-08-23,0.003484
1963-08-26,0.001924
1963-08-27,-0.004135
1963-08-28,0.007744
1963-08-29,0.001917
1963-08-30,0.004417
1963-09-03,0.002395
1963-09-04,0.000186
1963-09-05,0.004861
1963-09-06,-0.002460
1963-09-09,-0.003437
1963-09-10,0.005285
1963-09-11,0.002622
1963-09-12,-0.000755
1963-09-13,0.000409
1963-09-16,-0.001299
1963-09-17,0.000413
1963-09-18,-0.004036
1963-09-19,0.005392
1963-09-20,0.000678
1963-09-23,-0.004842
1963-09-24,0.003582
1963-09-25,-0.005537
1963-09-26,-0.007889
1963-09-27,-0.001686
1963-09-30,-0.005778
1963-10-01,0.006386
1963-10-02,0.001094
1963-10-03,0.006753
1963-10-04,0.000182
1963-10-07,-0.002101
1963-10-08,-0.001212
1963-10-09,-0.005868
1963-10-10,0.001001
1963-10-11,0.001462
1963-10-14,0.000620
1963-10-15,0.001748
1963-10-16,0.008859
1963-10-17,0.001521
1963-10-18,0.001035
1963-10-21,0.000435
1963-10-22,-0.005201
1963-10-23,0.000387
1963-10-24,0.003625
1963-10-25,0.008347
1963-10-28,0.004106
1963-10-29,-0.000244
1963-10-30,-0.007601
1963-10-31,0.002219
1963-11-01,-0.001358
1963-11-04,-0.004170
1963-11-06,-0.007479
1963-11-07,0.003473
1963-11-08,0.005506
1963-11-11,0.002176
1963-11-12,-0.003493
1963-11-13,0.000668
1963-11-14,-0.003919
1963-11-15,-0.007257
1963-11-18,-0.007208
1963-11-19,0.001058
1963-11-20,0.007509
1963-11-21,-0.012239
1963-11-22,-0.028516
1963-11-26,0.038959
1963-11-27,-0.001365
1963-11-29,0.013575
1963-12-02,0.005372
1963-12-03,-0.000384
1963-12-04,0.002732
1963-12-05,0.005885
1963-12-06,-0.003077
1963-12-09,-0.000945
1963-12-10,0.000745
1963-12-11,-0.001091
1963-12-12,-0.000049
1963-12-13,0.001730
1963-12-16,0.002579
1963-12-17,0.004490
1963-12-18,-0.001566
1963-12-19,-0.003262
1963-12-20,-0.001732
1963-12-23,-0.005761
1963-12-24,0.002389
1963-12-26,0.004966
1963-12-27,0.001944
1963-12-30,0.000884
1963-12-31,0.005799
1964-01-02,0.006113
1964-01-03,0.001933
1964-01-06,0.002638
1964-01-07,0.000586
1964-01-08,0.003430
1964-01-09,0.003163
1964-01-10,-0.000093
1964-01-13,-0.000619
1964-01-14,0.001741
1964-01-15,0.002726
1964-01-16,-0.000795
1964-01-17,0.000208
1964-01-20,-0.002320
1964-01-21,0.002380
1964-01-22,0.005020
1964-01-23,0.001173
1964-01-24,0.000582
1964-01-27,-0.001199
1964-01-28,-0.000176
1964-01-29,-0.005639
1964-01-30,0.000419
1964-01-31,0.004008
1964-02-03,-0.000089
1964-02-04,-0.001159
1964-02-05,-0.000698
1964-02-06,0.002534
1964-02-07,0.003804
1964-02-10,-0.001264
1964-02-11,0.003429
1964-02-12,0.003103
1964-02-13,0.000884
1964-02-14,-0.000309
1964-02-17,0.000300
1964-02-18,0.000202
1964-02-19,0.001259
1964-02-20,0.001017
1964-02-24,0.001156
1964-02-25,0.000515
1964-02-26,0.002875
1964-02-27,-0.002763
1964-02-28,0.002232
1964-03-02,0.002478
1964-03-03,0.002527
1964-03-04,-0.001818
1964-03-05,0.000205
1964-03-06,0.003261
1964-03-09,0.000224
1964-03-10,0.002797
1964-03-11,0.004084
1964-03-12,0.001902
1964-03-13,0.001230
1964-03-16,0.000574
1964-03-17,0.001956
1964-03-18,0.001100
1964-03-19,-0.000688
1964-03-20,-0.004001
1964-03-23,0.000377
1964-03-24,-0.001570
1964-03-25,0.002649
1964-03-26,0.002725
1964-03-30,-0.000843
1964-03-31,-0.001542
1964-04-01,0.003644
1964-04-02,0.005914
1964-04-03,0.002357
1964-04-06,0.000923
1964-04-07,-0.003224
1964-04-08,0.000269
1964-04-09,0.000168
1964-04-10,0.001930
1964-04-13,-0.000611
1964-04-14,0.001926
1964-04-15,0.001209
1964-04-16,0.001064
1964-04-17,0.003924
1964-04-20,-0.000598
1964-04-21,0.000447
1964-04-22,-0.000335
1964-04-23,-0.001639
1964-04-24,-0.007555
1964-04-27,-0.005177
1964-04-28,0.006447
1964-04-29,-0.003892
1964-04-30,-0.002311
1964-05-01,0.007781
1964-05-04,0.004598
1964-05-05,0.004546
1964-05-06,0.002735
1964-05-07,0.001111
1964-05-08,-0.001577
1964-05-11,-0.000069
1964-05-12,0.003349
1964-05-13,-0.002171
1964-05-14,-0.000874
1964-05-15,0.001615
1964-05-18,-0.003164
1964-05-19,-0.004326
1964-05-20,0.004348
1964-05-21,0.000919
1964-05-22,0.000693
1964-05-25,-0.001023
1964-05-26,-0.001568
1964-05-27,-0.001241
1964-05-28,0.001649
1964-06-01,-0.003167
1964-06-02,-0.005064
1964-06-03,-0.002621
1964-06-04,-0.010029
1964-06-05,0.004137
1964-06-08,-0.004578
1964-06-09,0.005657
1964-06-10,0.003812
1964-06-11,0.003039
1964-06-12,-0.001975
1964-06-15,0.004564
1964-06-16,0.005191
1964-06-17,0.005243
1964-06-18,0.000179
1964-06-19,0.001242
1964-06-22,0.002615
1964-06-23,-0.003524
1964-06-24,0.003538
1964-06-25,0.001927
1964-06-26,0.002774
1964-06-29,0.001773
1964-06-30,0.000469
1964-07-01,0.006220
1964-07-02,0.004017
1964-07-06,0.004259
1964-07-07,0.001579
1964-07-08,0.000268
1964-07-09,0.001359
1964-07-10,0.002061
1964-07-13,-0.000495
1964-07-14,-0.002644
1964-07-15,0.003738
1964-07-16,0.003161
1964-07-17,0.004523
1964-07-20,-0.002829
1964-07-21,-0.001701
1964-07-22,0.000318
1964-07-23,-0.000112
1964-07-24,-0.000171
1964-07-27,-0.004681
1964-07-28,-0.002268
1964-07-29,0.001310
1964-07-30,0.001397
1964-07-31,0.000822
1964-08-03,-0.002252
1964-08-04,-0.011021
1964-08-05,0.001663
1964-08-06,-0.008376
1964-08-07,0.005670
1964-08-10,0.000351
1964-08-11,0.000001
1964-08-12,0.005148
1964-08-13,0.002931
1964-08-14,-0.000889
1964-08-17,0.000030
1964-08-18,0.000732
1964-08-19,-0.000789
1964-08-20,-0.004210
1964-08-21,0.001753
1964-08-24,-0.001880
1964-08-25,-0.004806
1964-08-26,-0.001526
1964-08-27,0.004949
1964-08-28,0.003189
1964-08-31,-0.001841
1964-09-01,0.004609
1964-09-02,0.002195
1964-09-03,0.002709
1964-09-04,0.002277
1964-09-08,0.001377
1964-09-09,0.001970
1964-09-10,0.001016
1964-09-11,0.003512
1964-09-14,-0.002178
1964-09-15,-0.002195
1964-09-16,0.002870
1964-09-17,0.005959
1964-09-18,-0.003310
1964-09-21,0.004257
1964-09-22,0.000642
1964-09-23,0.000208
1964-09-24,0.001126
1964-09-25,0.002267
1964-09-28,0.000742
1964-09-29,0.000079
1964-09-30,-0.000232
1964-10-01,-0.001282
1964-10-02,0.002445
1964-10-05,0.004168
1964-10-06,0.000375
1964-10-07,-0.000082
1964-10-08,0.002596
1964-10-09,0.002141
1964-10-12,0.000740
1964-10-13,-0.002178
1964-10-14,-0.001639
1964-10-15,-0.006948
1964-10-16,0.007044
1964-10-19,0.001490
1964-10-20,0.002671
1964-10-21,-0.000318
1964-10-22,-0.001554
1964-10-23,0.002113
1964-10-26,-0.001570
1964-10-27,-0.000316
1964-10-28,-0.003330
1964-10-29,0.000565
1964-10-30,0.001845
1964-11-02,0.004539
1964-11-04,0.000026
1964-11-05,0.000114
1964-11-06,0.002090
1964-11-09,-0.000175
1964-11-10,-0.003921
1964-11-11,0.002691
1964-11-12,0.002038
1964-11-13,0.001268
1964-11-16,0.004352
1964-11-17,0.004564
1964-11-18,0.002492
1964-11-19,-0.000022
1964-11-20,0.001076
1964-11-23,-0.002401
1964-11-24,-0.002523
1964-11-25,-0.001973
1964-11-27,-0.002790
1964-11-30,-0.008366
1964-12-01,-0.009714
1964-12-02,0.002758
1964-12-03,0.003956
1964-12-04,0.001871
1964-12-07,-0.000043
1964-12-08,-0.003432
1964-12-09,-0.006512
1964-12-10,-0.000295
1964-12-11,0.002299
1964-12-14,-0.002380
1964-12-15,-0.003169
1964-12-16,0.003979
1964-12-17,0.003681
1964-12-18,0.004869
1964-12-21,0.000877
1964-12-22,-0.000468
1964-12-23,-0.001902
1964-12-24,0.000283
1964-12-28,-0.000827
1964-12-29,-0.002869
1964-12-30,0.005766
1964-12-31,0.005175
1965-01-04,-0.004324
1965-01-05,0.005029
1965-01-06,0.003668
1965-01-07,0.004114
1965-01-08,0.001788
1965-01-11,0.000733
1965-01-12,0.002923
1965-01-13,0.002876
1965-01-14,0.000238
1965-01-15,0.004310
1965-01-18,0.003014
1965-01-19,0.001833
1965-01-20,-0.000075
1965-01-21,-0.000832
1965-01-22,0.002608
1965-01-25,0.001734
1965-01-26,0.001258
1965-01-27,0.003133
1965-01-28,0.002701
1965-01-29,0.001257
1965-02-01,0.000341
1965-02-02,0.000717
1965-02-03,0.001519
1965-02-04,-0.000011
1965-02-05,-0.002274
1965-02-08,-0.003221
1965-02-09,0.003290
1965-02-10,-0.008236
1965-02-11,-0.009749
1965-02-12,0.006719
1965-02-15,-0.000372
1965-02-16,-0.003331
1965-02-17,0.001688
1965-02-18,0.003082
1965-02-19,0.002050
1965-02-23,0.004915
1965-02-24,0.006474
1965-02-25,0.000953
1965-02-26,0.002564
1965-03-01,-0.001367
1965-03-02,0.001904
1965-03-03,-0.000313
1965-03-04,-0.002818
1965-03-05,-0.001796
1965-03-08,0.000601
1965-03-09,-0.001362
1965-03-10,-0.000823
1965-03-11,0.003869
1965-03-12,0.003118
1965-03-15,0.000743
1965-03-16,-0.000861
1965-03-17,-0.001221
1965-03-18,-0.002421
1965-03-19,-0.000018
1965-03-22,-0.000056
1965-03-23,0.000593
1965-03-24,0.001948
1965-03-25,-0.002648
1965-03-26,-0.006729
1965-03-29,-0.002314
1965-03-30,0.002011
1965-03-31,0.000180
1965-04-01,0.001685
1965-04-02,0.002612
1965-04-05,0.000208
1965-04-06,-0.000381
1965-04-07,0.000765
1965-04-08,0.005325
1965-04-09,0.005663
1965-04-12,0.004530
1965-04-13,0.001455
1965-04-14,0.001914
1965-04-15,-0.000427
1965-04-19,0.003810
1965-04-20,-0.000228
1965-04-21,-0.002048
1965-04-22,0.004524
1965-04-23,0.001451
1965-04-26,0.000105
1965-04-27,0.001699
1965-04-28,-0.000342
1965-04-29,-0.000523
1965-04-30,0.001388
1965-05-03,0.000822
1965-05-04,0.002794
1965-05-05,0.002607
1965-05-06,0.002539
1965-05-07,-0.000450
1965-05-10,-0.000891
1965-05-11,-0.000690
1965-05-12,0.003803
1965-05-13,0.003381
1965-05-14,-0.001391
1965-05-17,-0.005227
1965-05-18,-0.000497
1965-05-19,0.002182
1965-05-20,-0.005082
1965-05-21,-0.004406
1965-05-24,-0.007340
1965-05-25,0.005545
1965-05-26,-0.002516
1965-05-27,-0.005613
1965-05-28,0.006090
1965-06-01,-0.006714
1965-06-02,-0.007744
1965-06-03,-0.002210
1965-06-04,0.002164
1965-06-07,-0.003478
1965-06-08,-0.010585
1965-06-09,-0.010066
1965-06-10,-0.004151
1965-06-11,0.004384
1965-06-14,-0.013353
1965-06-15,0.004791
1965-06-16,0.009025
1965-06-17,0.005963
1965-06-18,-0.004161
1965-06-21,-0.003711
1965-06-22,0.001923
1965-06-23,-0.006155
1965-06-24,-0.013337
1965-06-25,-0.006293
1965-06-28,-0.018758
1965-06-29,0.007898
1965-06-30,0.022139
1965-07-01,0.004641
1965-07-02,0.008178
1965-07-06,-0.001655
1965-07-07,-0.003344
1965-07-08,0.007981
1965-07-09,0.004061
1965-07-12,0.000031
1965-07-13,-0.001361
1965-07-14,0.003069
1965-07-15,-0.000791
1965-07-16,-0.000276
1965-07-19,-0.000879
1965-07-20,-0.012085
1965-07-21,-0.005424
1965-07-22,-0.002138
1965-07-23,0.002414
1965-07-26,-0.000088
1965-07-27,-0.001739
1965-07-28,0.002053
1965-07-29,0.007338
1965-07-30,0.006919
1965-08-02,0.002145
1965-08-03,0.001362
1965-08-04,0.004331
1965-08-05,0.000357
1965-08-06,0.003579
1965-08-09,-0.001146
1965-08-10,0.000548
1965-08-11,0.003386
1965-08-12,0.003078
1965-08-13,0.004588
1965-08-16,0.001298
1965-08-17,0.001801
1965-08-18,0.000352
1965-08-19,-0.002185
1965-08-20,-0.000719
1965-08-23,-0.001173
1965-08-24,0.001875
1965-08-25,0.001559
1965-08-26,0.003812
1965-08-27,0.001414
1965-08-30,0.000643
1965-08-31,-0.000374
1965-09-01,0.000584
1965-09-02,0.005716
1965-09-03,0.004734
1965-09-07,0.003417
1965-09-08,0.002899
1965-09-09,0.002620
1965-09-10,0.002427
1965-09-13,0.002522
1965-09-14,-0.004110
1965-09-15,0.004806
1965-09-16,0.005333
1965-09-17,0.000255
1965-09-20,0.000624
1965-09-21,-0.002597
1965-09-22,0.004797
1965-09-23,-0.003661
1965-09-24,0.002538
1965-09-27,0.005917
1965-09-28,-0.002257
1965-09-29,-0.004528
1965-09-30,-0.000465
1965-10-01,-0.000541
1965-10-04,0.002466
1965-10-05,0.005588
1965-10-06,-0.000646
1965-10-07,-0.000277
1965-10-08,0.004949
1965-10-11,0.005791
1965-10-12,-0.000269
1965-10-13,0.000235
1965-10-14,-0.001282
1965-10-15,0.002449
1965-10-18,0.002950
1965-10-19,0.001321
1965-10-20,0.000073
1965-10-21,0.001602
1965-10-22,-0.000405
1965-10-25,-0.003843
1965-10-26,0.005095
1965-10-27,0.003704
1965-10-28,-0.002808
1965-10-29,0.002760
1965-11-01,-0.000871
1965-11-03,0.001458
1965-11-04,0.002163
1965-11-05,0.001351
1965-11-08,-0.003312
1965-11-09,-0.002401
1965-11-10,-0.000751
1965-11-11,0.002823
1965-11-12,0.004873
1965-11-15,0.001355
1965-11-16,-0.001018
1965-11-17,0.001507
1965-11-18,-0.003264
1965-11-19,0.000373
1965-11-22,-0.005110
1965-11-23,0.001637
1965-11-24,0.002130
1965-11-26,0.002730
1965-11-29,-0.001234
1965-11-30,-0.001267
1965-12-01,-0.000005
1965-12-02,-0.002134
1965-12-03,0.000787
1965-12-06,-0.007577
1965-12-07,0.009558
1965-12-08,-0.000695
1965-12-09,0.003037
1965-12-10,0.002857
1965-12-13,0.001276
1965-12-14,0.000850
1965-12-15,0.001874
1965-12-16,0.001675
1965-12-17,0.000581
1965-12-20,-0.005268
1965-12-21,0.003577
1965-12-22,0.001596
1965-12-23,-0.001454
1965-12-27,-0.006304
1965-12-28,-0.000316
1965-12-29,0.003020
1965-12-30,0.003753
1965-12-31,0.002863
1966-01-03,-0.001823
1966-01-04,0.001291
1966-01-05,0.005880
1966-01-06,0.001962
1966-01-07,0.001328
1966-01-10,0.002453
1966-01-11,0.000923
1966-01-12,-0.001330
1966-01-13,0.002334
1966-01-14,0.001679
1966-01-17,0.003373
1966-01-18,0.002002
1966-01-19,-0.002712
1966-01-20,-0.002487
1966-01-21,0.001074
1966-01-24,0.002876
1966-01-25,0.001752
1966-01-26,-0.000740
1966-01-27,-0.000316
1966-01-28,-0.003109
1966-01-31,-0.004274
1966-02-01,-0.007775
1966-02-02,0.004113
1966-02-03,0.001619
1966-02-04,0.006022
1966-02-07,0.003783
1966-02-08,-0.000170
1966-02-09,0.005824
1966-02-10,-0.001556
1966-02-11,0.000300
1966-02-14,-0.000655
1966-02-15,-0.003978
1966-02-16,0.000388
1966-02-17,-0.004959
1966-02-18,-0.001992
1966-02-21,-0.005248
1966-02-23,-0.004156
1966-02-24,-0.005146
1966-02-25,0.003357
1966-02-28,0.001744
1966-03-01,-0.012650
1966-03-02,-0.010072
1966-03-03,0.004083
1966-03-04,-0.002681
1966-03-07,-0.012619
1966-03-08,0.000446
1966-03-09,0.008909
1966-03-10,-0.000050
1966-03-11,-0.000588
1966-03-14,-0.010933
1966-03-15,-0.007298
1966-03-16,0.005599
1966-03-17,0.003159
1966-03-18,0.004960
1966-03-21,0.008414
1966-03-22,0.003035
1966-03-23,-0.003107
1966-03-24,0.001962
1966-03-25,0.003500
1966-03-28,0.002188
1966-03-29,-0.004044
1966-03-30,-0.008441
1966-03-31,0.005604
1966-04-01,0.007760
1966-04-04,0.009154
1966-04-05,0.005867
1966-04-06,0.002565
1966-04-07,0.003154
1966-04-11,0.001176
1966-04-12,-0.002851
1966-04-13,0.001132
1966-04-14,0.003453
1966-04-15,0.000929
1966-04-18,-0.004016
1966-04-19,0.000405
1966-04-20,0.005291
1966-04-21,0.003477
1966-04-22,-0.001856
1966-04-25,-0.001452
1966-04-26,-0.000765
1966-04-27,-0.002806
1966-04-28,-0.006456
1966-04-29,0.000443
1966-05-02,-0.000980
1966-05-03,-0.010808
1966-05-04,-0.005425
1966-05-05,-0.017364
1966-05-06,-0.002577
1966-05-09,-0.015869
1966-05-10,0.008840
1966-05-11,0.001912
1966-05-12,-0.012467
1966-05-13,-0.009288
1966-05-16,-0.014670
1966-05-17,-0.009114
1966-05-18,0.018800
1966-05-19,-0.000987
1966-05-20,0.005100
1966-05-23,0.008834
1966-05-24,0.007393
1966-05-25,0.004276
1966-05-26,0.000817
1966-05-27,0.003436
1966-05-31,-0.013026
1966-06-01,0.000066
1966-06-02,-0.000391
1966-06-03,0.001372
1966-06-06,-0.007108
1966-06-07,-0.006690
1966-06-08,0.001741
1966-06-09,0.007233
1966-06-10,0.010937
1966-06-13,0.004872
1966-06-14,0.003513
1966-06-15,-0.003581
1966-06-16,-0.001978
1966-06-17,0.000324
1966-06-20,-0.000369
1966-06-21,0.003664
1966-06-22,0.002019
1966-06-23,-0.003788
1966-06-24,0.000231
1966-06-27,-0.006060
1966-06-28,-0.004609
1966-06-29,-0.009760
1966-06-30,-0.001761
1966-07-01,0.009788
1966-07-05,0.001638
1966-07-06,0.013781
1966-07-07,0.003639
1966-07-08,0.001725
1966-07-11,-0.001325
1966-07-12,-0.004790
1966-07-13,-0.006046
1966-07-14,0.005521
1966-07-15,0.003141
1966-07-18,-0.001052
1966-07-19,-0.007111
1966-07-20,-0.008705
1966-07-21,-0.000393
1966-07-22,-0.000852
1966-07-25,-0.018943
1966-07-26,-0.002253
1966-07-27,0.004898
1966-07-28,-0.003422
1966-07-29,-0.001833
1966-08-01,-0.014923
1966-08-02,0.000445
1966-08-03,0.009831
1966-08-04,0.008970
1966-08-05,0.001512
1966-08-08,-0.001525
1966-08-09,-0.001638
1966-08-10,-0.004128
1966-08-11,-0.000407
1966-08-12,0.002449
1966-08-15,-0.004705
1966-08-16,-0.012378
1966-08-17,-0.005625
1966-08-18,-0.012571
1966-08-19,-0.007442
1966-08-22,-0.017863
1966-08-23,-0.001172
1966-08-24,0.011572
1966-08-25,-0.012368
1966-08-26,-0.021981
1966-08-29,-0.025405
1966-08-30,0.016083
1966-08-31,0.016074
1966-09-01,0.006608
1966-09-02,-0.003142
1966-09-06,-0.005036
1966-09-07,-0.008907
1966-09-08,-0.003360
1966-09-09,0.003360
1966-09-12,0.021018
1966-09-13,0.005990
1966-09-14,0.009143
1966-09-15,0.010189
1966-09-16,-0.000116
1966-09-19,-0.004391
1966-09-20,-0.006557
1966-09-21,-0.016704
1966-09-22,0.002315
1966-09-23,-0.002870
1966-09-26,0.002557
1966-09-27,0.002903
1966-09-28,-0.011488
1966-09-29,-0.010739
1966-09-30,0.002932
1966-10-03,-0.021441
1966-10-04,0.000833
1966-10-05,-0.005566
1966-10-06,-0.010000
1966-10-07,-0.012238
1966-10-10,0.016751
1966-10-11,0.004989
1966-10-12,0.026427
1966-10-13,0.000090
1966-10-14,-0.002569
1966-10-17,0.010909
1966-10-18,0.016248
1966-10-19,-0.007118
1966-10-20,-0.002919
1966-10-21,0.003382
1966-10-24,0.002391
1966-10-25,0.005253
1966-10-26,0.008754
1966-10-27,0.008159
1966-10-28,0.000585
1966-10-31,-0.000266
1966-11-01,0.008265
1966-11-02,0.001397
1966-11-03,-0.003167
1966-11-04,0.003970
1966-11-07,-0.000197
1966-11-09,0.008422
1966-11-10,0.006491
1966-11-11,0.001294
1966-11-14,-0.005022
1966-11-15,0.004123
1966-11-16,0.008714
1966-11-17,-0.006305
1966-11-18,-0.005810
1966-11-21,-0.013432
1966-11-22,-0.004846
1966-11-23,0.007615
1966-11-25,0.008321
1966-11-28,-0.000296
1966-11-29,-0.002675
1966-11-30,0.000951
1966-12-01,-0.003652
1966-12-02,0.000416
1966-12-05,0.001198
1966-12-06,0.007159
1966-12-07,0.010244
1966-12-08,0.004117
1966-12-09,0.002354
1966-12-12,0.009791
1966-12-13,-0.002668
1966-12-14,0.000079
1966-12-15,-0.010191
1966-12-16,0.000404
1966-12-19,-0.002567
1966-12-20,-0.003624
1966-12-21,0.005479
1966-12-22,0.003997
1966-12-23,-0.002211
1966-12-27,-0.005160
1966-12-28,-0.004620
1966-12-29,-0.003530
1966-12-30,-0.000556
1967-01-03,0.000953
1967-01-04,0.001735
1967-01-05,0.013056
1967-01-06,0.007444
1967-01-09,0.008708
1967-01-10,0.000210
1967-01-11,0.008471
1967-01-12,0.005980
1967-01-13,0.006896
1967-01-16,-0.001745
1967-01-17,0.011321
1967-01-18,0.005266
1967-01-19,0.000762
1967-01-20,0.003961
1967-01-23,0.003518
1967-01-24,0.002213
1967-01-25,-0.006591
1967-01-26,0.000528
1967-01-27,0.004829
1967-01-30,0.005636
1967-01-31,-0.000678
1967-02-01,-0.001304
1967-02-02,0.003521
1967-02-03,0.007219
1967-02-06,-0.001309
1967-02-07,-0.001643
1967-02-08,0.008904
1967-02-09,-0.003716
1967-02-10,0.002763
1967-02-13,0.001515
1967-02-14,0.007408
1967-02-15,0.000698
1967-02-16,-0.004049
1967-02-17,0.000321
1967-02-20,-0.004769
1967-02-21,0.000161
1967-02-23,0.001476
1967-02-24,0.000930
1967-02-27,-0.010845
1967-02-28,0.003874
1967-03-01,0.009989
1967-03-02,0.005366
1967-03-03,0.001747
1967-03-06,-0.001128
1967-03-07,0.001658
1967-03-08,0.001805
1967-03-09,0.002922
1967-03-10,0.003786
1967-03-13,-0.004797
1967-03-14,-0.000871
1967-03-15,0.008821
1967-03-16,0.009062
1967-03-17,0.001622
